book_id,discipline,title,family,feature_id,feature_label,count,rate_per_10k_words,segment_coverage_pct,dispersion_evenness
EE_Hambley,Electrical Engineering,Electrical Engineering: Principles and Applications,grammar,relative_clause_candidate,Relative-clause candidates,15,154.48,80.0,0.7019
EE_Hambley,Electrical Engineering,Electrical Engineering: Principles and Applications,grammar,that_complement_candidate,That-clause candidates,0,0.0,0.0,0.0
EE_Hambley,Electrical Engineering,Electrical Engineering: Principles and Applications,grammar,to_infinitive,To-infinitive constructions,21,216.272,100.0,0.6437
EE_Hambley,Electrical Engineering,Electrical Engineering: Principles and Applications,grammar,ing_form_candidate,-ing form candidates,26,267.765,100.0,0.6485
EE_Hambley,Electrical Engineering,Electrical Engineering: Principles and Applications,grammar,existential_there,Existential there,0,0.0,0.0,0.0
EE_Hambley,Electrical Engineering,Electrical Engineering: Principles and Applications,grammar,extraposition_it,Extraposition with it,0,0.0,0.0,0.0
EE_Hambley,Electrical Engineering,Electrical Engineering: Principles and Applications,grammar,negation,Negation,4,41.195,40.0,0.2711
EE_Hambley,Electrical Engineering,Electrical Engineering: Principles and Applications,grammar,interrogative,Interrogatives,0,0.0,0.0,0.0
EE_Hambley,Electrical Engineering,Electrical Engineering: Principles and Applications,grammar,nominalisation_candidate,Nominalisation candidates,56,576.725,100.0,0.8469
EE_Hambley,Electrical Engineering,Electrical Engineering: Principles and Applications,grammar,coordination,Coordination,28,288.363,100.0,0.7143
EE_Hambley,Electrical Engineering,Electrical Engineering: Principles and Applications,grammar,endophoric_reference,Endophoric and cross-reference forms,3,30.896,60.0,0.5918
EE_Hambley,Electrical Engineering,Electrical Engineering: Principles and Applications,grammar,reader_reference,Reader reference,9,92.688,80.0,0.6761
EE_Sedra,Electrical Engineering,Microelectronic Circuits,function,meaning_access,Access to disciplinary meanings,2,20.45,40.0,0.3876
EE_Sedra,Electrical Engineering,Microelectronic Circuits,function,orientation,Orientation and navigation,0,0.0,0.0,0.0
EE_Sedra,Electrical Engineering,Microelectronic Circuits,function,rhetorical_relation,Rhetorical relations and importance,5,51.125,60.0,0.5528
EE_Sedra,Electrical Engineering,Microelectronic Circuits,function,background_knowledge,Background knowledge support,0,0.0,0.0,0.0
EE_Sedra,Electrical Engineering,Microelectronic Circuits,function,conceptual_continuity,Conceptual continuity,3,30.675,40.0,0.3333
EE_Sedra,Electrical Engineering,Microelectronic Circuits,function,reader_engagement,Reader engagement and self-monitoring,0,0.0,0.0,0.0
EE_Sedra,Electrical Engineering,Microelectronic Circuits,function,multimodal_scaffolding,Multimodal and numeric scaffolding,2,20.45,40.0,0.3876
EE_Sedra,Electrical Engineering,Microelectronic Circuits,grammar,modal_auxiliary,Modal auxiliaries,19,194.274,100.0,0.7895
EE_Sedra,Electrical Engineering,Microelectronic Circuits,grammar,epistemic_hedge,Epistemic hedges,1,10.225,20.0,0.0
EE_Sedra,Electrical Engineering,Microelectronic Circuits,grammar,booster,Boosters and emphasis,4,40.9,40.0,0.2711
EE_Sedra,Electrical Engineering,Microelectronic Circuits,grammar,passive_candidate,Passive candidates,18,184.049,100.0,0.7921
EE_Sedra,Electrical Engineering,Microelectronic Circuits,grammar,conditional_clause,Conditional clauses,2,20.45,40.0,0.3876
EE_Sedra,Electrical Engineering,Microelectronic Circuits,grammar,concessive_clause,Concessive clauses,0,0.0,0.0,0.0
EE_Sedra,Electrical Engineering,Microelectronic Circuits,grammar,causal_clause,Causal and result clauses,13,132.924,80.0,0.6433
EE_Sedra,Electrical Engineering,Microelectronic Circuits,grammar,relative_clause_candidate,Relative-clause candidates,19,194.274,100.0,0.707
EE_Sedra,Electrical Engineering,Microelectronic Circuits,grammar,that_complement_candidate,That-clause candidates,0,0.0,0.0,0.0
EE_Sedra,Electrical Engineering,Microelectronic Circuits,grammar,to_infinitive,To-infinitive constructions,21,214.724,100.0,0.8612
EE_Sedra,Electrical Engineering,Microelectronic Circuits,grammar,ing_form_candidate,-ing form candidates,26,265.849,100.0,0.7947
EE_Sedra,Electrical Engineering,Microelectronic Circuits,grammar,existential_there,Existential there,1,10.225,20.0,0.0
EE_Sedra,Electrical Engineering,Microelectronic Circuits,grammar,extraposition_it,Extraposition with it,0,0.0,0.0,0.0
EE_Sedra,Electrical Engineering,Microelectronic Circuits,grammar,negation,Negation,3,30.675,60.0,0.5918
EE_Sedra,Electrical Engineering,Microelectronic Circuits,grammar,interrogative,Interrogatives,0,0.0,0.0,0.0
EE_Sedra,Electrical Engineering,Microelectronic Circuits,grammar,nominalisation_candidate,Nominalisation candidates,37,378.323,100.0,0.806
EE_Sedra,Electrical Engineering,Microelectronic Circuits,grammar,coordination,Coordination,22,224.949,100.0,0.7892
EE_Sedra,Electrical Engineering,Microelectronic Circuits,grammar,endophoric_reference,Endophoric and cross-reference forms,7,71.575,60.0,0.3376
EE_Sedra,Electrical Engineering,Microelectronic Circuits,grammar,reader_reference,Reader reference,7,71.575,80.0,0.6358
EE_Oppenheim,Electrical Engineering,Signals and Systems,function,meaning_access,Access to disciplinary meanings,5,53.533,80.0,0.6838
EE_Oppenheim,Electrical Engineering,Signals and Systems,function,orientation,Orientation and navigation,2,21.413,40.0,0.3876
EE_Oppenheim,Electrical Engineering,Signals and Systems,function,rhetorical_relation,Rhetorical relations and importance,3,32.12,60.0,0.5918
EE_Oppenheim,Electrical Engineering,Signals and Systems,function,background_knowledge,Background knowledge support,0,0.0,0.0,0.0
EE_Oppenheim,Electrical Engineering,Signals and Systems,function,conceptual_continuity,Conceptual continuity,0,0.0,0.0,0.0
EE_Oppenheim,Electrical Engineering,Signals and Systems,function,reader_engagement,Reader engagement and self-monitoring,0,0.0,0.0,0.0
EE_Oppenheim,Electrical Engineering,Signals and Systems,function,multimodal_scaffolding,Multimodal and numeric scaffolding,0,0.0,0.0,0.0
EE_Oppenheim,Electrical Engineering,Signals and Systems,grammar,modal_auxiliary,Modal auxiliaries,12,128.48,100.0,0.8333
EE_Oppenheim,Electrical Engineering,Signals and Systems,grammar,epistemic_hedge,Epistemic hedges,3,32.12,40.0,0.3333
EE_Oppenheim,Electrical Engineering,Signals and Systems,grammar,booster,Boosters and emphasis,0,0.0,0.0,0.0
EE_Oppenheim,Electrical Engineering,Signals and Systems,grammar,passive_candidate,Passive candidates,19,203.426,100.0,0.8254
EE_Oppenheim,Electrical Engineering,Signals and Systems,grammar,conditional_clause,Conditional clauses,1,10.707,20.0,0.0
EE_Oppenheim,Electrical Engineering,Signals and Systems,grammar,concessive_clause,Concessive clauses,3,32.12,60.0,0.5918
EE_Oppenheim,Electrical Engineering,Signals and Systems,grammar,causal_clause,Causal and result clauses,3,32.12,60.0,0.5918
EE_Oppenheim,Electrical Engineering,Signals and Systems,grammar,relative_clause_candidate,Relative-clause candidates,11,117.773,60.0,0.5834
EE_Oppenheim,Electrical Engineering,Signals and Systems,grammar,that_complement_candidate,That-clause candidates,1,10.707,20.0,0.0
EE_Oppenheim,Electrical Engineering,Signals and Systems,grammar,to_infinitive,To-infinitive constructions,14,149.893,80.0,0.7143
EE_Oppenheim,Electrical Engineering,Signals and Systems,grammar,ing_form_candidate,-ing form candidates,25,267.666,80.0,0.7102
EE_Oppenheim,Electrical Engineering,Signals and Systems,grammar,existential_there,Existential there,1,10.707,20.0,0.0
EE_Oppenheim,Electrical Engineering,Signals and Systems,grammar,extraposition_it,Extraposition with it,1,10.707,20.0,0.0
EE_Oppenheim,Electrical Engineering,Signals and Systems,grammar,negation,Negation,4,42.827,40.0,0.2711
EE_Oppenheim,Electrical Engineering,Signals and Systems,grammar,interrogative,Interrogatives,0,0.0,0.0,0.0
EE_Oppenheim,Electrical Engineering,Signals and Systems,grammar,nominalisation_candidate,Nominalisation candidates,57,610.278,100.0,0.8543
EE_Oppenheim,Electrical Engineering,Signals and Systems,grammar,coordination,Coordination,34,364.026,100.0,0.6972
EE_Oppenheim,Electrical Engineering,Signals and Systems,grammar,endophoric_reference,Endophoric and cross-reference forms,1,10.707,20.0,0.0
EE_Oppenheim,Electrical Engineering,Signals and Systems,grammar,reader_reference,Reader reference,10,107.066,80.0,0.6838
EE_Mano,Electrical Engineering,Digital Logic and Computer Design,function,meaning_access,Access to disciplinary meanings,2,20.408,40.0,0.3876
EE_Mano,Electrical Engineering,Digital Logic and Computer Design,function,orientation,Orientation and navigation,0,0.0,0.0,0.0
EE_Mano,Electrical Engineering,Digital Logic and Computer Design,function,rhetorical_relation,Rhetorical relations and importance,2,20.408,40.0,0.3876
EE_Mano,Electrical Engineering,Digital Logic and Computer Design,function,background_knowledge,Background knowledge support,0,0.0,0.0,0.0
